Date,Forecasted_Consumption
2019-10-01,97.01324083102739
2019-11-01,94.31561580998807
2019-12-01,104.00376939313682
2020-01-01,110.2762575689552
2020-02-01,100.70749765561945
2020-03-01,96.45363535042861
2020-04-01,90.5722221936659
2020-05-01,96.90661330920521
2020-06-01,111.08088501992455
2020-07-01,122.27930704880225
2020-08-01,121.47073736953385
2020-09-01,109.01060552408973
2020-10-01,96.74633740292636
2020-11-01,94.42503465925975
2020-12-01,104.33299639576087
2021-01-01,110.54286652154379
2021-02-01,101.37970948670001
2021-03-01,97.11326170170058
2021-04-01,91.15281946423279
2021-05-01,97.40431274817526
2021-06-01,111.73666688890022
2021-07-01,123.00873169456358
2021-08-01,122.17018233747693
2021-09-01,109.61327065736545
